Common Name,Scientific,Name,,,,
red maple,Acer,rubrum,L.,,,
American hornbeam,Carpinus,caroliniana,Walt.,,,
starved panicgrass,Dichanthelium,depauperatum,(Muhl.)Gould,,,
prairie fleabane,Erigeron,strigosus,Muhl.exWilld.,,,
white wood aster,Eurybia,divaricata,(L.)Nesom,,,
Virginia creeper,Parthenocissus,quinquefolia,(L.)Planch.,,,
black cherry,Prunus,serotina,Ehrh.,,,
Allegheny blackberry,Rubus,allegheniensis,Porter,,,
roundleaf greenbrier,Smilax,rotundifolia,L.,,,
blackhaw,Viburnum,prunifolium,L.,,,
marsh blue violet,Viola,cucullata,Ait.,,,
sweetgum,Liquidambar,styraciflua,L.,,,
Virginia threeseed mercury,Acalypha,virginica,L.,,,
western brackenfern,Pteridium,aquilinum,(L.)Kuhn,,,
American chestnut,Castanea,dentata,(Marsh.)Borkh.,,,
red chokeberry,Photinia,pyrifolia,(Lam.)Robertson&Phipps,,,
northern red oak,Quercus,rubra,L.,,,
flameleaf sumac,Rhus,copallinum,L.,,,
smooth cordgrass,Spartina,alterniflora,Loisel.,,,
saltmeadow cordgrass,Spartina,patens,(Ait.)Muhl.,,,
mapleleaf viburnum,Viburnum,acerifolium,L.,,,
nimblewill,Muhlenbergia,schreberi,J.F.Gmel.,,,
tall thimbleweed,Anemone,virginiana,L.,,,
smooth rockcress,Arabis,laevigata,(Muhl.exWilld.)Poir.,,,
wild sarsaparilla,Aralia,nudicaulis,L.,,,
Jack in the pulpit,Arisaema,triphyllum,(L.)Schott,,,
butterfly milkweed,Asclepias,tuberosa,L.,,,
common ladyfern,Athyrium,filix-femina,(L.)Roth,,,
spear saltbush,Atriplex,patula,L.,,,
smooth yellow false foxglove,Aureolaria,flava,(L.)Farw.,,,
devil's beggartick,Bidens,frondosa,L.,,,
fox sedge,Carex,vulpinoidea,Michx.,,,
pignut hickory,Carya,glabra,(P.Mill.)Sweet,,,
American bittersweet,Celastrus,scandens,L.,,,
sanddune sandbur,Cenchrus,tribuloides,L.,,,
striped prince's pine,Chimaphila,maculata,(L.)Pursh,,,
scaldweed,Cuscuta,gronovii,Willd.exJ.A.Schultes,,,
eastern hayscented fern,Dennstaedtia,punctilobula,(Michx.)T.Moore,,,
nakedflower ticktrefoil,Desmodium,nudiflorum,(L.)DC.,,,
prostrate ticktrefoil,Desmodium,rotundifolium,DC.,,,
marginal woodfern,Dryopteris,marginalis,(L.)Gray,,,
American burnweed,Erechtites,hieraciifolius,(L.),Raf.,ex,DC.
trumpetweed,Eupatorium,fistulosum,Barratt,,,
red fescue,Festuca,rubra,L.,,,
Virginia strawberry,Fragaria,virginiana,Duchesne,,,
rough bedstraw,Galium,asprellum,Michx.,,,
licorice bedstraw,Galium,circaezans,Michx.,,,
fragrant bedstraw,Galium,triflorum,Michx.,,,
black huckleberry,Gaylussacia,baccata,(Wangenh.)K.Koch,,,
spotted geranium,Geranium,maculatum,L.,,,
cream avens,Geum,virginianum,L.,,,
American witchhazel,Hamamelis,virginiana,L.,,,
rough hawkweed,Hieracium,scabrum,Michx.,,,
spotted St. Johnswort,Hypericum,punctatum,Lam.,,,
eastern redcedar,Juniperus,virginiana,L.,,,
mountain laurel,Kalmia,latifolia,L.,,,
Canada lettuce,Lactuca,canadensis,L.,,,
trailing lespedeza,Lespedeza,procumbens,Michx.,,,
woodland flax,Linum,virginianum,L.,,,
Indian-tobacco,Lobelia,inflata,L.,,,
trumpet honeysuckle,Lonicera,sempervirens,L.,,,
lowland yellow loosestrife,Lysimachia,hybrida,Michx.,,,
